,index,Ticker,Basic Average Shares
2,2019,AALB.AS,110580.0
2,2019,ABN.AS,940000.0
1,2018,ACCEL.AS,27020.0
1,2018,AXS.AS,117760.0
1,2018,ADYEN.AS,29487.0
2,2019,AED.BR,19274.0
1,2018,AGN.AS,2607000.0
2,2019,AD.AS,1107000.0
2,2019,AFR.F,427432.0
2,2019,AJAX.AS,18333.0
2,2019,AKZA.AS,213074.0
1,2018,ALFEN.AS,20000.0
2,2019,ATCB.AS,1193600.0
2,2019,ATC.AS,1193600.0
1,2018,ALX.AS,10696.0
2,2019,AMG.AS,29416.0
2,2019,ACOMO.AS,24650.0
1,2018,AND.AS,3727.0
2,2019,APAM.AS,81172.0
2,2019,ARCAD.AS,88371.0
2,2019,MT.AS,1013000.0
2,2019,ASM.AS,49418.0
2,2019,ASML.AS,420800.0
1,2018,ASRNL.AS,141000.0
2,2019,ATRS.AS,377985.0
1,2018,AVTX.AS,25807.0
1,2018,BSGR.AS,84177.0
1,2018,BAMNB.AS,273491.0
2,2019,BFIT.AS,54666.0
2,2019,BESI.AS,72797.0
1,2018,BBED.AS,21956.0
2,2019,BEVER.AS,17058.0
1,2018,BOKA.AS,132492.0
1,2018,BGHL.AS,28760.0
1,2018,BGHS.L,29391.0
1,2018,BRILL.AS,1874.0
1,2018,BRNL.AS,50502.0
1,2018,CCEP.AS,483511.0
1,2018,CRBN.AS,58700.0
2,2019,CLB.AS,44466.0
1,2018,CTAC.AS,13118.0
2,2019,DGB.AS,7500.0
1,2018,DPA.AS,46968.0
2,2019,DSM.AS,175731.0
1,2018,EAS2P.AS,8470.0
2,2019,ENVI.AS,4098.0
1,2018,ESP.AS,10358.0
1,2018,ECT.AS,50551.0
2,2019,ECMPA.AS,49586.0
2,2019,ENX.PA,69674.0
1,2018,FAGR.BR,71740.0
1,2018,FAST.AS,14783.0
1,2018,FLOW.AS,46448.0
1,2018,FFARM.AS,100243.0
2,2019,FUR.AS,80967.0
2,2019,GLPG.AS,57614.0
1,2018,GVNV.AS,253702.0
1,2018,HAL.AS,84468.0
1,2018,HEIJM.AS,21409.0
1,2018,HEIA.AS,570146.0
1,2018,HEIO.AS,288030.0
1,2018,HOLCO.AS,860.3510000000001
2,2019,HDG.AS,34790.0
2,2019,HYDRA.AS,1287.0
1,2018,ICT.AS,9440.0
2,2019,IEX.AS,3661.0
1,2018,IMCD.AS,52443.0
2,2019,INGA.AS,3896734.0
2,2019,INTER.AS,89734.0
2,2019,JDEP.AS,495386.0
1,2018,TKWY.AS,43213.0
2,2019,KARD.AS,123022.0
2,2019,KENDR.AS,13466.0
1,2018,KDS.AS,20450.0
2,2019,KPN.AS,4195770.0
1,2018,LVIDE.AS,4196.0
1,2018,BOLS.AS,12477.0
2,2019,MAREL.AS,717500.0
1,2018,NEDSE.AS,33672.0
1,2018,MORE.AS,12200.0
1,2018,NEDAP.AS,6408.0
1,2018,NRP.AS,577801.0
2,2019,NSE.AS,54995.0
1,2018,NEWAY.AS,11854.0
1,2018,NIBC.AS,146000.0
1,2018,NN.AS,335500.0
1,2018,NOVI.AS,11751.0
1,2018,NSI.AS,18986.0
2,2019,OCI.AS,209462.0
1,2018,ORANW.AS,62873.0
2,2019,ORDI.AS,93256.0
1,2018,PSH.AS,214849.0
2,2019,PHARM.AS,626315.0
2,2019,PHIA.AS,921299.0
1,2018,PORF.AS,763.622
2,2019,PNL.AS,482578.0
1,2018,PRX.AS,1188449.0
2,2019,RAND.AS,183200.0
1,2018,REINA.AS,194900.0
2,2019,REN.AS,1943500.0
1,2018,RWI.AS,796700.0
1,2018,RET.BR,11265.0
2,2019,ROOD.AS,74808.0
2,2019,RDSA.AS,8058300.0
2,2019,RDSB.AS,8058300.0
1,2018,SGO.PA,547106.0
2,2019,SBMO.AS,198575.0
1,2018,SIFG.AS,25501.0
2,2019,LIGHT.AS,126028.0
2,2019,SLIGR.AS,44117.0
2,2019,SNOW.AS,3770.0
1,2018,STRN.AS,5675.0
2,2019,TFG.AS,89500.0
1,2018,TBIRD.AS,28104.0
2,2019,TIE.AS,1623.0
1,2018,TWEKA.AS,42010.0
2,2019,TOM2.AS,170973.0
2,2019,URW.AS,138351.0
2,2019,UNA.AS,2616800.0
1,2018,VLK.AS,41005.0
2,2019,VALUE.AS,10246.0
2,2019,VASTN.AS,17270.0
2,2019,VEON.AS,1749127.0
1,2018,VVY.AS,8372.0
2,2019,VTA.AS,36576.0
2,2019,VPK.AS,127638.0
2,2019,WDP.BR,164047.0
2,2019,WHA.AS,40252.0
1,2018,WKL.AS,276700.0
2,2019,YATRA.AS,2090.0
